month,product_id,brand,category_l1,category_l2,price_tier,avg_price,total_views,total_carts,total_purchases,cart_rate,conversion_rate,recommendation
October,34800270,cantra,unknown,unknown,mid,101.67,1176.0,0.0,3.0,0.0,0.26,High Visibility Low Conversion - Investigate
October,22700062,aeroforce,unknown,unknown,mid,218.54,1170.0,0.0,1.0,0.0,0.09,High Visibility Low Conversion - Investigate
October,1004964,oppo,electronics,smartphone,luxury,901.65,1164.0,13.0,1.0,1.12,0.09,High Visibility Low Conversion - Investigate
October,1004837,xiaomi,electronics,smartphone,premium,325.36,1158.0,3.0,5.0,0.26,0.43,High Visibility Low Conversion - Investigate
October,1004730,sony,electronics,smartphone,premium,315.5,1150.0,13.0,7.0,1.13,0.61,High Visibility Low Conversion - Investigate
October,22700205,matrix,unknown,unknown,budget,21.4,1139.0,0.0,8.0,0.0,0.7,High Visibility Low Conversion - Investigate
October,54900011,unknown,apparel,costume,mid,64.35,1128.0,0.0,7.0,0.0,0.62,High Visibility Low Conversion - Investigate
October,55000008,nike,apparel,costume,mid,111.95,1114.0,0.0,2.0,0.0,0.18,High Visibility Low Conversion - Investigate
October,17200559,unknown,furniture,living_room,luxury,591.78,1110.0,0.0,2.0,0.0,0.18,High Visibility Low Conversion - Investigate
October,22700323,bosch,unknown,unknown,budget,20.34,1104.0,12.0,5.0,1.09,0.45,High Visibility Low Conversion - Investigate
October,1004562,meizu,electronics,smartphone,mid,103.24,1098.0,15.0,8.0,1.37,0.73,High Visibility Low Conversion - Investigate
October,2501301,beko,appliances,kitchen,mid,204.67,1094.0,11.0,8.0,1.01,0.73,High Visibility Low Conversion - Investigate
October,1004497,nokia,electronics,smartphone,mid,159.76,1091.0,12.0,7.0,1.1,0.64,High Visibility Low Conversion - Investigate
October,15100377,unknown,unknown,unknown,premium,314.11,1086.0,0.0,8.0,0.0,0.74,High Visibility Low Conversion - Investigate
October,15100132,unknown,unknown,unknown,premium,309.32,1059.0,0.0,7.0,0.0,0.66,High Visibility Low Conversion - Investigate
October,1004544,huawei,electronics,smartphone,luxury,508.79,1057.0,5.0,5.0,0.47,0.47,High Visibility Low Conversion - Investigate
October,10700979,unknown,unknown,unknown,budget,38.6,1052.0,1.0,1.0,0.1,0.1,High Visibility Low Conversion - Investigate
October,44500023,omabelle,unknown,unknown,luxury,1171.2,1051.0,0.0,1.0,0.0,0.1,High Visibility Low Conversion - Investigate
October,22700065,aeroforce,unknown,unknown,mid,148.63,1049.0,1.0,5.0,0.1,0.48,High Visibility Low Conversion - Investigate
October,22600026,unknown,auto,accessories,budget,33.43,1036.0,1.0,8.0,0.1,0.77,High Visibility Low Conversion - Investigate
October,5100833,xiaomi,unknown,unknown,budget,47.24,1031.0,0.0,5.0,0.0,0.48,High Visibility Low Conversion - Investigate
October,28715757,nexpero,apparel,shoes,mid,83.78,1025.0,0.0,5.0,0.0,0.49,High Visibility Low Conversion - Investigate
October,28718083,respect,apparel,shoes,budget,34.07,1013.0,0.0,9.0,0.0,0.89,High Visibility Low Conversion - Investigate
October,1004650,samsung,electronics,smartphone,luxury,628.56,1008.0,23.0,6.0,2.28,0.6,High Visibility Low Conversion - Investigate
October,52100001,nike,unknown,unknown,mid,88.78,1007.0,0.0,5.0,0.0,0.5,High Visibility Low Conversion - Investigate
October,15100297,unknown,unknown,unknown,premium,258.0,1007.0,0.0,5.0,0.0,0.5,High Visibility Low Conversion - Investigate
October,1480558,netechnics,computers,desktop,luxury,1055.34,1003.0,0.0,6.0,0.0,0.6,High Visibility Low Conversion - Investigate
October,28712327,baden,apparel,shoes,mid,68.2,1002.0,0.0,7.0,0.0,0.7,High Visibility Low Conversion - Investigate
October,13100745,skad,unknown,unknown,mid,177.1,1001.0,0.0,9.0,0.0,0.9,High Visibility Low Conversion - Investigate
