month,user_id,segment,total_sessions,total_events,total_purchases,total_spend,spend_per_session,purchases_per_session
October,513536780,loyal,8,10,5,7178.76,897.35,0.63
November,515629946,loyal,47,55,7,7090.73,150.87,0.15
October,514726585,loyal,28,36,8,7090.63,253.24,0.29
October,512998603,returning,2,9,5,7070.44,3535.22,2.5
October,545778359,loyal,9,11,6,7059.41,784.38,0.67
October,512760758,loyal,21,69,6,7025.35,334.54,0.29
October,564195480,loyal,16,20,7,6991.23,436.95,0.44
October,526532436,loyal,21,24,8,6973.63,332.08,0.38
October,513717990,loyal,17,22,8,6947.92,408.7,0.47
October,513209107,loyal,19,27,6,6913.11,363.85,0.32
October,547830696,loyal,25,57,10,6870.57,274.82,0.4
October,558724020,loyal,18,29,6,6868.52,381.58,0.33
October,549733171,loyal,20,27,8,6866.6,343.33,0.4
October,512786896,loyal,28,39,5,6862.9,245.1,0.18
October,515715331,loyal,20,44,5,6838.96,341.95,0.25
October,523988746,loyal,8,11,5,6741.65,842.71,0.63
October,534856520,loyal,20,28,7,6722.15,336.11,0.35
October,537404834,loyal,17,36,6,6663.24,391.96,0.35
October,542175644,loyal,10,28,6,6657.2,665.72,0.6
October,518619273,loyal,12,21,6,6655.99,554.67,0.5
October,545925192,loyal,97,148,7,6651.9,68.58,0.07
October,512987188,loyal,20,25,4,6627.81,331.39,0.2
October,563021459,loyal,10,15,6,6432.79,643.28,0.6
October,557254614,loyal,37,53,11,6424.43,173.63,0.3
October,561662104,loyal,6,9,5,6395.97,1066.0,0.83
October,562612052,loyal,9,13,5,6369.46,707.72,0.56
October,515575930,loyal,6,12,4,6353.32,1058.89,0.67
October,555925841,loyal,14,21,5,6336.1,452.58,0.36
October,527388238,loyal,16,26,6,6302.06,393.88,0.38
October,562398323,loyal,13,18,6,6260.98,481.61,0.46
October,552987483,loyal,21,33,6,6252.24,297.73,0.29
October,550524745,loyal,6,9,5,6249.2,1041.53,0.83
October,515650586,loyal,37,74,7,6229.19,168.36,0.19
November,512569089,loyal,9,13,4,6216.58,690.73,0.44
October,536328930,loyal,14,18,6,6213.07,443.79,0.43
October,513271269,loyal,9,13,4,6195.37,688.37,0.44
October,515014899,loyal,30,39,9,6133.28,204.44,0.3
October,513298115,loyal,18,33,7,6124.86,340.27,0.39
October,554868733,loyal,9,12,5,6111.07,679.01,0.56
November,518853457,loyal,11,25,9,6097.37,554.31,0.82
October,555899899,loyal,10,11,4,6073.76,607.38,0.4
October,553305962,loyal,10,14,6,6043.59,604.36,0.6
October,516675926,loyal,16,21,4,6039.99,377.5,0.25
October,550040795,loyal,14,47,11,6031.29,430.81,0.79
November,512699299,loyal,21,26,10,6030.61,287.17,0.48
October,541551544,loyal,14,23,6,5994.06,428.15,0.43
November,558317034,loyal,26,39,6,5929.47,228.06,0.23
November,551321936,loyal,11,23,6,5927.36,538.85,0.55
November,513230794,loyal,18,67,12,5927.17,329.29,0.67
October,513045789,loyal,23,33,11,5890.0,256.09,0.48
November,542320322,loyal,25,47,12,5889.03,235.56,0.48
October,514630154,loyal,6,8,5,5871.08,978.51,0.83
October,517337309,returning,4,5,3,5861.15,1465.29,0.75
November,512980976,loyal,23,36,5,5846.92,254.21,0.22
October,518839713,loyal,8,11,4,5797.5,724.69,0.5
October,545889144,loyal,15,19,7,5797.37,386.49,0.47
November,568065058,loyal,6,8,5,5778.79,963.13,0.83
October,556466206,loyal,17,37,5,5751.37,338.32,0.29
October,554347151,loyal,32,35,8,5749.89,179.68,0.25
November,551140089,loyal,32,50,10,5738.43,179.33,0.31
October,562119164,loyal,24,32,10,5733.53,238.9,0.42
October,552102214,loyal,11,15,6,5714.7,519.52,0.55
October,558422256,loyal,18,21,4,5710.59,317.26,0.22
October,561265325,loyal,9,20,5,5662.88,629.21,0.56
November,512452103,loyal,16,19,4,5659.92,353.75,0.25
October,513605139,loyal,21,41,11,5654.1,269.24,0.52
October,548256638,loyal,8,24,6,5640.86,705.11,0.75
October,518865091,loyal,13,15,4,5624.64,432.66,0.31
November,552482446,loyal,11,23,8,5621.64,511.06,0.73
November,512372673,loyal,32,41,4,5608.02,175.25,0.13
October,520740183,loyal,13,19,4,5604.27,431.1,0.31
October,543184829,loyal,7,18,6,5588.3,798.33,0.86
October,515058599,loyal,11,15,3,5584.95,507.72,0.27
October,532275774,loyal,18,18,4,5554.13,308.56,0.22
October,513791027,loyal,7,8,4,5510.39,787.2,0.57
October,534268605,loyal,12,21,4,5468.77,455.73,0.33
October,547972966,loyal,10,12,4,5466.21,546.62,0.4
October,516010934,loyal,21,25,7,5464.48,260.21,0.33
October,527075623,loyal,12,19,6,5460.82,455.07,0.5
October,512707659,loyal,37,80,6,5450.94,147.32,0.16
October,555160976,loyal,45,85,6,5444.89,121.0,0.13
October,541496006,loyal,20,27,6,5438.31,271.92,0.3
October,562730135,returning,5,14,5,5424.71,1084.94,1.0
November,545563258,returning,3,6,4,5393.22,1797.74,1.33
October,512980976,loyal,11,16,5,5368.34,488.03,0.45
November,514006144,loyal,6,7,4,5357.19,892.86,0.67
October,519149809,loyal,12,14,5,5355.94,446.33,0.42
October,553662537,loyal,12,17,7,5352.81,446.07,0.58
November,547080420,loyal,33,45,6,5344.74,161.96,0.18
October,549554977,loyal,15,24,4,5343.0,356.2,0.27
October,512836766,loyal,27,38,9,5340.54,197.8,0.33
October,518714775,loyal,24,42,5,5314.92,221.46,0.21
October,517728689,loyal,58,153,27,5313.01,91.6,0.47
October,518957516,loyal,26,51,13,5284.75,203.26,0.5
October,513229632,loyal,28,33,8,5257.72,187.78,0.29
October,550688539,loyal,7,12,3,5239.5,748.5,0.43
October,518792278,loyal,7,11,4,5235.77,747.97,0.57
October,512524843,loyal,38,69,7,5232.39,137.69,0.18
October,514036494,loyal,11,16,3,5223.78,474.89,0.27
October,525987546,loyal,13,14,3,5217.77,401.37,0.23
October,526929354,loyal,33,48,10,5211.0,157.91,0.3
October,537377938,loyal,7,14,4,5187.4,741.06,0.57
October,560369144,loyal,16,20,8,5175.61,323.48,0.5
October,513944852,loyal,20,26,7,5163.32,258.17,0.35
October,559735700,returning,3,4,3,5160.7,1720.23,1.0
October,524869217,loyal,7,16,3,5152.62,736.09,0.43
October,513677580,loyal,18,23,4,5135.44,285.3,0.22
October,524744625,loyal,8,12,4,5127.12,640.89,0.5
November,568613904,returning,2,4,2,5124.98,2562.49,1.0
October,551807786,loyal,10,29,10,5112.39,511.24,1.0
November,561174161,loyal,43,102,14,5108.0,118.79,0.33
November,545743740,loyal,25,39,6,5102.02,204.08,0.24
October,514399464,loyal,33,54,3,5096.58,154.44,0.09
November,513201462,loyal,11,16,2,5096.14,463.29,0.18
November,571300149,loyal,20,29,8,5066.28,253.31,0.4
October,520064563,loyal,8,13,4,5061.63,632.7,0.5
October,514569111,loyal,13,22,6,5046.53,388.19,0.46
October,545590198,loyal,6,13,5,5043.05,840.51,0.83
October,538473314,loyal,74,128,13,5021.49,67.86,0.18
October,515819233,loyal,6,8,2,5018.92,836.49,0.33
October,562319238,loyal,10,14,5,4999.33,499.93,0.5
October,512418667,loyal,47,84,8,4989.67,106.16,0.17
November,532411578,loyal,12,12,3,4988.0,415.67,0.25
October,561204491,loyal,13,20,5,4977.69,382.9,0.38
October,540527538,loyal,10,13,3,4969.2,496.92,0.3
October,512571278,loyal,25,52,12,4957.17,198.29,0.48
October,514368344,loyal,25,56,3,4951.02,198.04,0.12
October,518271156,loyal,22,48,4,4950.62,225.03,0.18
November,513283213,loyal,9,9,3,4936.94,548.55,0.33
October,513223953,loyal,13,17,5,4932.45,379.42,0.38
October,515916852,loyal,12,23,6,4920.62,410.05,0.5
October,513654377,loyal,20,23,7,4916.74,245.84,0.35
October,559150660,loyal,16,18,4,4915.53,307.22,0.25
October,551193067,loyal,7,10,3,4909.99,701.43,0.43
October,532077611,loyal,6,11,3,4903.53,817.26,0.5
October,546659261,loyal,15,20,5,4895.92,326.39,0.33
November,549366629,loyal,12,22,6,4894.11,407.84,0.5
October,515787651,loyal,6,9,3,4891.38,815.23,0.5
October,559396643,loyal,13,16,6,4884.21,375.71,0.46
October,532612391,returning,5,11,3,4877.61,975.52,0.6
November,557254614,loyal,21,32,9,4868.72,231.84,0.43
October,513262809,loyal,7,8,4,4867.88,695.41,0.57
November,539985843,returning,3,4,2,4864.99,1621.66,0.67
October,552644046,loyal,18,31,8,4852.98,269.61,0.44
November,515715331,loyal,24,39,3,4849.8,202.08,0.13
October,513322839,loyal,11,58,17,4823.41,438.49,1.55
October,533774988,loyal,19,24,6,4820.91,253.73,0.32
October,561707139,loyal,9,11,6,4817.06,535.23,0.67
October,550893046,returning,2,5,4,4803.04,2401.52,2.0
October,544035544,loyal,27,46,10,4801.9,177.85,0.37
November,516616445,loyal,7,13,5,4798.79,685.54,0.71
November,563907320,loyal,44,73,5,4775.36,108.53,0.11
October,549251938,loyal,8,12,4,4761.4,595.17,0.5
October,533113177,returning,5,7,2,4736.28,947.26,0.4
October,564095433,loyal,12,35,10,4736.15,394.68,0.83
October,526603128,loyal,8,16,7,4728.6,591.08,0.88
November,565754295,loyal,7,10,3,4723.31,674.76,0.43
November,513298115,loyal,37,50,5,4720.28,127.58,0.14
October,515174645,loyal,14,19,3,4711.54,336.54,0.21
November,554842238,loyal,14,15,6,4708.85,336.35,0.43
October,530466080,loyal,14,18,6,4701.28,335.81,0.43
October,512875478,loyal,20,36,8,4688.84,234.44,0.4
October,553635658,loyal,13,15,3,4684.5,360.35,0.23
November,513761346,loyal,19,22,2,4682.24,246.43,0.11
October,547969482,loyal,39,67,6,4672.21,119.8,0.15
October,535704625,returning,5,9,4,4655.12,931.02,0.8
October,555890665,loyal,6,7,3,4654.84,775.81,0.5
November,512602712,loyal,17,18,5,4649.37,273.49,0.29
October,543509628,loyal,11,14,5,4644.85,422.26,0.45
October,513334519,loyal,17,31,4,4643.61,273.15,0.24
October,556342445,loyal,41,67,5,4638.3,113.13,0.12
November,543217791,loyal,22,27,6,4630.79,210.49,0.27
November,550594573,loyal,11,12,3,4628.18,420.74,0.27
November,512599092,loyal,22,26,5,4617.53,209.89,0.23
October,512683227,loyal,17,22,8,4613.51,271.38,0.47
October,514263951,loyal,20,29,6,4610.59,230.53,0.3
October,518498487,returning,4,6,3,4607.58,1151.9,0.75
October,545356842,loyal,18,28,9,4604.58,255.81,0.5
October,526007836,loyal,20,29,5,4580.35,229.02,0.25
October,514468999,loyal,22,24,3,4580.14,208.19,0.14
October,546584174,returning,3,6,3,4578.75,1526.25,1.0
November,538473314,loyal,64,138,14,4577.22,71.52,0.22
October,545554011,loyal,9,14,3,4567.92,507.55,0.33
October,539479985,loyal,19,26,10,4546.91,239.31,0.53
November,515934670,loyal,11,16,4,4529.3,411.75,0.36
November,566216236,loyal,16,25,5,4527.82,282.99,0.31
October,518724481,loyal,14,20,3,4524.51,323.18,0.21
October,531532579,loyal,18,25,5,4521.6,251.2,0.28
November,513223953,loyal,22,31,5,4518.85,205.4,0.23
October,550917318,loyal,11,21,8,4518.54,410.78,0.73
October,513438709,loyal,15,17,6,4505.41,300.36,0.4
October,545427631,loyal,13,14,4,4505.24,346.56,0.31
October,519959738,loyal,7,8,4,4503.85,643.41,0.57
October,513437742,loyal,22,32,5,4503.2,204.69,0.23
October,525488602,loyal,6,10,5,4485.29,747.55,0.83
October,524555769,loyal,33,130,3,4479.78,135.75,0.09
October,513266623,loyal,7,11,3,4478.75,639.82,0.43
November,512839065,loyal,14,19,3,4475.35,319.67,0.21
October,513639720,loyal,7,10,5,4475.02,639.29,0.71
October,561756671,returning,3,11,3,4469.48,1489.83,1.0
October,553353155,loyal,22,28,6,4464.4,202.93,0.27
October,533074223,loyal,37,57,11,4456.95,120.46,0.3
October,522446979,loyal,18,24,6,4455.94,247.55,0.33
October,515440611,loyal,22,26,6,4426.68,201.21,0.27
October,535658024,loyal,51,63,9,4423.54,86.74,0.18
October,543312954,loyal,41,96,25,4407.87,107.51,0.61
October,548483349,loyal,31,57,11,4407.45,142.18,0.35
November,574965042,loyal,8,23,5,4405.96,550.75,0.63
October,513478307,loyal,7,10,4,4404.82,629.26,0.57
November,562819311,loyal,14,28,7,4402.29,314.45,0.5
November,514668243,returning,5,7,3,4390.82,878.16,0.6
October,558768432,loyal,8,17,5,4389.97,548.75,0.63
October,555302298,loyal,37,64,8,4389.6,118.64,0.22
October,512989232,returning,2,5,3,4388.59,2194.3,1.5
October,519322381,loyal,65,88,13,4387.34,67.5,0.2
October,559939767,returning,3,5,4,4387.31,1462.44,1.33
October,549105116,loyal,7,8,3,4382.14,626.02,0.43
November,513509085,returning,5,5,3,4380.15,876.03,0.6
November,512487885,loyal,22,31,7,4377.09,198.96,0.32
November,519023956,returning,3,59,14,4371.9,1457.3,4.67
November,553795371,loyal,18,22,4,4370.07,242.78,0.22
October,538340540,loyal,78,111,18,4366.87,55.99,0.23
October,555372615,loyal,7,14,3,4357.19,622.46,0.43
October,516830503,loyal,14,24,4,4352.18,310.87,0.29
October,512946928,loyal,17,21,4,4351.25,255.96,0.24
November,546953099,loyal,15,33,3,4340.48,289.37,0.2
October,551565435,loyal,19,54,6,4333.54,228.08,0.32
October,518403065,loyal,14,28,3,4328.85,309.2,0.21
November,568809520,loyal,9,17,4,4321.76,480.2,0.44
October,561131651,loyal,14,15,7,4311.22,307.94,0.5
October,521339236,loyal,22,27,6,4309.61,195.89,0.27
October,513718766,returning,5,12,3,4304.22,860.84,0.6
November,570033808,loyal,10,13,3,4295.27,429.53,0.3
October,539642168,loyal,8,12,6,4290.48,536.31,0.75
October,513837759,loyal,8,11,4,4281.55,535.19,0.5
October,552361505,loyal,8,9,3,4259.27,532.41,0.38
October,528188959,loyal,7,7,3,4256.42,608.06,0.43
November,543496767,loyal,8,11,4,4253.05,531.63,0.5
October,517888308,loyal,8,15,3,4249.24,531.16,0.38
October,521951388,loyal,9,14,3,4248.91,472.1,0.33
October,548434805,loyal,15,21,5,4242.67,282.84,0.33
November,515496241,loyal,6,6,3,4242.18,707.03,0.5
November,525987546,loyal,11,12,3,4233.81,384.89,0.27
October,549498138,loyal,7,10,3,4233.61,604.8,0.43
October,513842913,loyal,9,12,3,4228.17,469.8,0.33
October,534913676,loyal,8,10,4,4226.34,528.29,0.5
October,515923556,loyal,8,11,2,4221.32,527.67,0.25
October,527331984,loyal,11,13,5,4218.19,383.47,0.45
October,543112997,loyal,11,17,4,4217.68,383.43,0.36
October,530172097,loyal,7,8,3,4209.7,601.39,0.43
October,516057579,loyal,12,12,6,4208.13,350.68,0.5
October,519404810,returning,5,8,3,4206.47,841.29,0.6
October,514487255,returning,5,6,3,4201.7,840.34,0.6
October,517596460,loyal,9,10,3,4192.18,465.8,0.33
November,535116320,loyal,6,9,3,4191.56,698.59,0.5
October,519072576,loyal,6,6,3,4188.96,698.16,0.5
October,515436065,loyal,15,25,9,4181.45,278.76,0.6
October,514083219,loyal,12,23,3,4178.1,348.17,0.25
November,512527352,loyal,28,48,6,4159.12,148.54,0.21
October,516465920,returning,4,6,3,4157.63,1039.41,0.75
October,551824514,loyal,38,56,8,4152.57,109.28,0.21
November,569959410,loyal,33,47,7,4147.88,125.69,0.21
November,512924342,loyal,25,31,12,4137.29,165.49,0.48
October,522643302,loyal,19,28,7,4135.06,217.63,0.37
October,557309208,loyal,16,23,4,4117.45,257.34,0.25
October,513336499,loyal,7,10,3,4115.36,587.91,0.43
October,558420737,loyal,50,73,15,4114.42,82.29,0.3
October,555284489,loyal,7,9,2,4113.36,587.62,0.29
October,514065515,loyal,8,20,3,4108.53,513.57,0.38
October,534102366,loyal,10,17,8,4106.2,410.62,0.8
October,522016074,loyal,8,9,5,4102.86,512.86,0.63
October,512412385,loyal,16,31,7,4102.14,256.38,0.44
October,513318027,loyal,24,58,5,4099.41,170.81,0.21
October,513845379,loyal,32,61,9,4097.97,128.06,0.28
October,513292741,loyal,19,28,6,4079.31,214.7,0.32
October,512599029,loyal,11,19,6,4077.77,370.71,0.55
October,512875998,loyal,16,48,10,4072.44,254.53,0.63
October,513614047,loyal,12,20,3,4070.47,339.21,0.25
October,529252117,loyal,8,10,5,4062.51,507.81,0.63
November,514537015,loyal,12,14,4,4061.34,338.44,0.33
November,519066729,loyal,9,16,5,4058.23,450.91,0.56
October,513557061,returning,2,3,2,4051.74,2025.87,1.0
October,553452335,loyal,18,26,5,4050.49,225.03,0.28
October,537102552,loyal,15,16,4,4048.74,269.92,0.27
October,537498402,loyal,9,13,5,4048.12,449.79,0.56
November,519214233,loyal,21,27,5,4042.47,192.5,0.24
October,548985588,loyal,19,34,5,4041.44,212.71,0.26
November,548671194,loyal,21,28,6,4035.99,192.19,0.29
October,518709357,loyal,14,22,4,4020.39,287.17,0.29
October,517442574,loyal,26,30,12,4017.9,154.53,0.46
November,576832265,returning,5,9,5,4001.56,800.31,1.0
October,513149920,loyal,17,24,4,3991.41,234.79,0.24
November,535658024,loyal,28,30,8,3981.05,142.18,0.29
October,514074113,loyal,25,30,11,3979.5,159.18,0.44
October,551078701,loyal,40,66,10,3973.98,99.35,0.25
November,513633528,loyal,16,24,2,3970.24,248.14,0.13
November,516907985,loyal,21,25,4,3968.71,188.99,0.19
November,518271837,loyal,11,14,3,3965.73,360.52,0.27
October,519369539,returning,5,9,4,3962.96,792.59,0.8
October,521009984,loyal,28,49,9,3950.74,141.1,0.32
October,519742323,loyal,12,21,6,3931.43,327.62,0.5
October,555197829,returning,5,8,3,3929.62,785.92,0.6
October,551307859,loyal,12,18,5,3928.48,327.37,0.42
October,558370319,loyal,19,47,4,3925.21,206.59,0.21
October,556057657,loyal,27,40,5,3922.83,145.29,0.19
November,522249477,loyal,18,20,5,3921.12,217.84,0.28
November,573903556,returning,5,8,2,3914.38,782.88,0.4
November,558420737,loyal,50,79,12,3913.44,78.27,0.24
October,550251895,returning,3,3,2,3911.5,1303.83,0.67
October,559998826,returning,5,9,3,3904.03,780.81,0.6
October,521830095,returning,4,7,4,3902.24,975.56,1.0
October,529047625,loyal,10,28,6,3900.47,390.05,0.6
October,522461331,loyal,20,53,8,3887.71,194.39,0.4
November,561414438,loyal,17,21,3,3884.54,228.5,0.18
October,551728351,loyal,11,15,4,3881.96,352.91,0.36
October,557611541,loyal,10,14,4,3881.07,388.11,0.4
November,568047770,loyal,30,41,5,3875.67,129.19,0.17
October,533352686,loyal,15,21,8,3874.53,258.3,0.53
November,557058879,returning,4,5,3,3869.18,967.3,0.75
October,512867322,loyal,12,21,5,3868.13,322.34,0.42
October,532195453,loyal,7,8,2,3860.54,551.51,0.29
November,540473284,loyal,7,14,4,3855.05,550.72,0.57
October,518840496,loyal,20,28,6,3839.4,191.97,0.3
November,514640691,loyal,11,14,4,3837.61,348.87,0.36
November,541125919,loyal,7,14,6,3832.03,547.43,0.86
October,548805522,loyal,19,26,5,3828.07,201.48,0.26
October,516001381,loyal,6,9,2,3821.69,636.95,0.33
October,563054735,loyal,21,39,10,3820.15,181.91,0.48
October,521093646,returning,2,2,2,3819.89,1909.95,1.0
October,540791411,returning,5,7,4,3817.16,763.43,0.8
October,516096684,loyal,28,53,11,3810.31,136.08,0.39
October,561162922,loyal,12,15,6,3808.16,317.35,0.5
November,533733172,loyal,21,29,8,3808.15,181.34,0.38
October,513424642,loyal,19,27,3,3799.48,199.97,0.16
October,546483498,loyal,9,14,4,3794.66,421.63,0.44
October,512694342,loyal,7,11,4,3793.78,541.97,0.57
October,513536765,loyal,16,42,10,3785.25,236.58,0.63
October,514415155,loyal,10,13,4,3781.99,378.2,0.4
October,514140124,loyal,18,40,7,3779.6,209.98,0.39
October,545552285,loyal,31,57,6,3779.48,121.92,0.19
October,512810320,loyal,16,27,4,3778.55,236.16,0.25
October,559852631,loyal,16,20,5,3768.36,235.52,0.31
October,560680071,returning,2,5,4,3767.16,1883.58,2.0
November,559696962,loyal,19,21,5,3766.58,198.24,0.26
October,525188359,loyal,9,14,6,3758.0,417.56,0.67
October,535789523,loyal,10,14,4,3753.21,375.32,0.4
October,557945861,loyal,6,13,5,3746.35,624.39,0.83
October,526766534,returning,4,4,3,3744.34,936.08,0.75
October,560109398,loyal,8,8,4,3742.89,467.86,0.5
October,514948520,loyal,42,76,11,3740.67,89.06,0.26
October,516650534,loyal,8,15,5,3733.73,466.72,0.63
October,547168648,loyal,10,16,8,3729.45,372.95,0.8
October,518875191,loyal,27,34,4,3723.59,137.91,0.15
October,541808548,loyal,10,21,6,3706.92,370.69,0.6
October,537619110,loyal,19,33,6,3704.14,194.95,0.32
November,566591589,loyal,8,8,3,3702.54,462.82,0.38
November,513076245,returning,5,6,4,3697.31,739.46,0.8
November,513044965,loyal,9,9,3,3693.68,410.41,0.33
October,513840758,loyal,13,15,5,3691.33,283.95,0.38
October,513057303,loyal,9,14,3,3689.56,409.95,0.33
October,514524655,loyal,7,9,4,3688.87,526.98,0.57
November,515115817,loyal,6,6,2,3688.84,614.81,0.33
October,515657536,loyal,7,15,6,3686.07,526.58,0.86
October,535741256,loyal,15,21,8,3682.52,245.5,0.53
November,569253932,loyal,8,20,4,3681.98,460.25,0.5
November,513280811,loyal,16,22,2,3680.15,230.01,0.13
October,549801353,loyal,38,75,8,3679.71,96.83,0.21
November,572098675,loyal,10,20,3,3677.35,367.73,0.3
October,554156094,returning,5,6,4,3675.29,735.06,0.8
November,543595420,loyal,36,45,17,3673.47,102.04,0.47
October,560140685,loyal,17,24,4,3663.94,215.53,0.24
November,575906825,loyal,6,15,4,3660.27,610.04,0.67
October,515075423,loyal,11,20,4,3654.38,332.22,0.36
November,557581330,loyal,20,24,6,3653.92,182.7,0.3
October,556931606,loyal,11,12,4,3649.55,331.78,0.36
October,522104793,loyal,26,65,4,3644.76,140.18,0.15
November,571759032,loyal,27,33,5,3643.31,134.94,0.19
October,535149145,loyal,6,9,3,3643.04,607.17,0.5
October,520845076,loyal,10,13,3,3637.29,363.73,0.3
November,572856430,loyal,9,10,3,3637.23,404.14,0.33
October,514493468,loyal,8,14,4,3636.98,454.62,0.5
November,517853779,loyal,34,65,12,3634.96,106.91,0.35
October,557513065,loyal,10,14,4,3634.89,363.49,0.4
October,551117579,loyal,33,56,13,3633.21,110.1,0.39
October,512735874,loyal,23,30,8,3629.82,157.82,0.35
November,570483990,loyal,6,10,3,3629.15,604.86,0.5
November,568609635,loyal,18,26,6,3628.39,201.58,0.33
October,512745256,loyal,9,13,3,3628.1,403.12,0.33
October,540927543,loyal,14,51,4,3625.97,259.0,0.29
October,513330476,loyal,14,31,4,3619.94,258.57,0.29
October,538558623,loyal,13,14,3,3616.04,278.16,0.23
November,555394812,loyal,20,21,3,3602.81,180.14,0.15
October,513336765,loyal,15,22,3,3601.84,240.12,0.2
November,554551310,loyal,58,87,16,3587.21,61.85,0.28
November,532499743,loyal,25,33,4,3571.05,142.84,0.16
October,515297798,loyal,7,9,3,3563.35,509.05,0.43
November,512590947,loyal,15,22,3,3559.11,237.27,0.2
October,564580766,loyal,8,18,5,3544.49,443.06,0.63
November,518899902,loyal,8,10,2,3537.8,442.23,0.25
October,515854311,loyal,30,51,11,3534.74,117.82,0.37
October,518463311,loyal,6,8,3,3534.44,589.07,0.5
October,552763030,loyal,12,16,7,3531.07,294.26,0.58
