month,product_id,brand,category_l1,category_l2,price_tier,avg_price,total_views,total_carts,total_purchases,cart_rate,conversion_rate,recommendation
November,28718938,nexpero,apparel,shoes,mid,82.63,28.0,4.0,3.0,14.29,10.71,Hidden Gem - Promote Higher
November,17300948,unknown,unknown,unknown,budget,24.5,28.0,1.0,3.0,3.57,10.71,Hidden Gem - Promote Higher
November,12705713,roadstone,unknown,unknown,budget,43.77,38.0,3.0,4.0,7.89,10.53,Hidden Gem - Promote Higher
November,12720102,roadx,unknown,unknown,mid,46.55,38.0,1.0,4.0,2.63,10.53,Hidden Gem - Promote Higher
November,6301499,philips,appliances,kitchen,mid,55.47,29.0,2.0,3.0,6.9,10.34,Hidden Gem - Promote Higher
November,2601833,scarlett,unknown,unknown,budget,29.09,29.0,0.0,3.0,0.0,10.34,Hidden Gem - Promote Higher
November,24400164,unknown,unknown,unknown,budget,2.58,29.0,2.0,3.0,6.9,10.34,Hidden Gem - Promote Higher
November,17601223,unknown,unknown,unknown,mid,75.16,29.0,0.0,3.0,0.0,10.34,Hidden Gem - Promote Higher
November,12718546,triangle,unknown,unknown,mid,85.58,29.0,10.0,3.0,34.48,10.34,Hidden Gem - Promote Higher
November,29501428,unknown,unknown,unknown,budget,28.41,29.0,2.0,3.0,6.9,10.34,Hidden Gem - Promote Higher
November,10201171,llorens,kids,dolls,mid,48.44,29.0,2.0,3.0,6.9,10.34,Hidden Gem - Promote Higher
November,4802986,samsung,electronics,audio,budget,51.61,39.0,0.0,4.0,0.0,10.26,Hidden Gem - Promote Higher
November,2900339,midea,appliances,kitchen,budget,77.92,41.0,2.0,4.0,4.88,9.76,Hidden Gem - Promote Higher
November,12708752,nokian,unknown,unknown,mid,197.79,41.0,7.0,4.0,17.07,9.76,Hidden Gem - Promote Higher
November,21411995,casio,electronics,clocks,premium,254.83,31.0,1.0,3.0,3.23,9.68,Hidden Gem - Promote Higher
November,13300422,unknown,unknown,unknown,premium,267.16,42.0,2.0,4.0,4.76,9.52,Hidden Gem - Promote Higher
November,26400514,unknown,unknown,unknown,premium,318.67,42.0,1.0,4.0,2.38,9.52,Hidden Gem - Promote Higher
November,12709545,goodyear,unknown,unknown,mid,114.55,32.0,8.0,3.0,25.0,9.38,Hidden Gem - Promote Higher
November,17300478,guerlain,unknown,unknown,mid,73.26,32.0,1.0,3.0,3.13,9.38,Hidden Gem - Promote Higher
November,5000336,janome,appliances,sewing_machine,premium,231.64,32.0,2.0,3.0,6.25,9.38,Hidden Gem - Promote Higher
November,60300005,riche,unknown,unknown,budget,28.31,32.0,2.0,3.0,6.25,9.38,Hidden Gem - Promote Higher
November,12719937,achilles,unknown,unknown,mid,89.84,32.0,6.0,3.0,18.75,9.38,Hidden Gem - Promote Higher
November,17301688,unknown,unknown,unknown,mid,65.16,32.0,1.0,3.0,3.13,9.38,Hidden Gem - Promote Higher
November,9700217,gigabyte,computers,components,mid,72.08,44.0,2.0,4.0,4.55,9.09,Hidden Gem - Promote Higher
November,12719671,comforser,unknown,unknown,mid,52.77,44.0,2.0,4.0,4.55,9.09,Hidden Gem - Promote Higher
November,22500006,holder,unknown,unknown,budget,28.29,33.0,2.0,3.0,6.06,9.09,Hidden Gem - Promote Higher
November,22400086,dagee,electronics,audio,budget,2.93,33.0,2.0,3.0,6.06,9.09,Hidden Gem - Promote Higher
November,13903083,calorie,construction,components,budget,33.39,33.0,1.0,3.0,3.03,9.09,Hidden Gem - Promote Higher
November,15201070,bars,unknown,unknown,budget,40.92,111.0,19.0,10.0,17.12,9.01,Hidden Gem - Promote Higher
November,12710993,powertrac,unknown,unknown,budget,37.88,56.0,10.0,5.0,17.86,8.93,Hidden Gem - Promote Higher
November,22400026,ritmix,electronics,audio,budget,2.58,45.0,1.0,4.0,2.22,8.89,Hidden Gem - Promote Higher
November,12718737,yokohama,unknown,unknown,mid,131.14,45.0,6.0,4.0,13.33,8.89,Hidden Gem - Promote Higher
November,6200702,unknown,appliances,environment,mid,51.13,34.0,2.0,3.0,5.88,8.82,Hidden Gem - Promote Higher
November,12700938,nokian,unknown,unknown,mid,102.96,34.0,4.0,3.0,11.76,8.82,Hidden Gem - Promote Higher
November,18500033,wacom,electronics,tablet,luxury,1287.01,34.0,1.0,3.0,2.94,8.82,Hidden Gem - Promote Higher
November,12707451,unknown,unknown,unknown,premium,331.28,34.0,1.0,3.0,2.94,8.82,Hidden Gem - Promote Higher
November,12720466,comforser,unknown,unknown,mid,48.85,57.0,3.0,5.0,5.26,8.77,Hidden Gem - Promote Higher
November,12718506,triangle,unknown,unknown,budget,42.47,59.0,0.0,5.0,0.0,8.47,Hidden Gem - Promote Higher
November,12707145,cordiant,unknown,unknown,mid,53.54,48.0,6.0,4.0,12.5,8.33,Hidden Gem - Promote Higher
November,11200399,omron,appliances,personal,budget,21.45,36.0,6.0,3.0,16.67,8.33,Hidden Gem - Promote Higher
November,17303027,unknown,unknown,unknown,mid,94.18,36.0,4.0,3.0,11.11,8.33,Hidden Gem - Promote Higher
November,6200965,elenberg,appliances,environment,budget,47.21,36.0,1.0,3.0,2.78,8.33,Hidden Gem - Promote Higher
November,12710869,triangle,unknown,unknown,budget,48.24,37.0,0.0,3.0,0.0,8.11,Hidden Gem - Promote Higher
November,12715009,sailun,unknown,unknown,mid,80.05,37.0,4.0,3.0,10.81,8.11,Hidden Gem - Promote Higher
November,12705698,viatti,unknown,unknown,mid,61.01,62.0,5.0,5.0,8.06,8.06,Hidden Gem - Promote Higher
November,6701099,gigabyte,computers,components,premium,250.49,63.0,7.0,5.0,11.11,7.94,Hidden Gem - Promote Higher
November,13000031,sony,unknown,unknown,mid,67.78,38.0,2.0,3.0,5.26,7.89,Hidden Gem - Promote Higher
November,5301477,vitek,unknown,unknown,budget,23.09,51.0,4.0,4.0,7.84,7.84,Hidden Gem - Promote Higher
November,27700660,unknown,construction,tools,mid,99.14,77.0,7.0,6.0,9.09,7.79,Hidden Gem - Promote Higher
November,8700038,philips,appliances,personal,budget,26.21,65.0,2.0,5.0,3.08,7.69,Hidden Gem - Promote Higher
November,15200869,bars,unknown,unknown,mid,59.97,65.0,11.0,5.0,16.92,7.69,Hidden Gem - Promote Higher
November,12720492,sunwide,unknown,unknown,mid,57.41,65.0,2.0,5.0,3.08,7.69,Hidden Gem - Promote Higher
November,1005089,tecno,electronics,smartphone,mid,66.33,39.0,1.0,3.0,2.56,7.69,Hidden Gem - Promote Higher
November,6600305,unknown,computers,components,budget,35.87,39.0,3.0,3.0,7.69,7.69,Hidden Gem - Promote Higher
November,45300017,unknown,kids,swing,premium,322.58,39.0,0.0,3.0,0.0,7.69,Hidden Gem - Promote Higher
November,12705524,viatti,unknown,unknown,budget,47.75,39.0,3.0,3.0,7.69,7.69,Hidden Gem - Promote Higher
November,6501014,asrock,computers,components,mid,89.18,39.0,2.0,3.0,5.13,7.69,Hidden Gem - Promote Higher
November,18000728,a-case,unknown,unknown,budget,4.09,53.0,1.0,4.0,1.89,7.55,Hidden Gem - Promote Higher
November,12708575,matador,unknown,unknown,budget,35.75,40.0,5.0,3.0,12.5,7.5,Hidden Gem - Promote Higher
November,12719628,kapsen,unknown,unknown,budget,41.96,40.0,2.0,3.0,5.0,7.5,Hidden Gem - Promote Higher
November,12712961,aplus,unknown,unknown,budget,40.05,67.0,15.0,5.0,22.39,7.46,Hidden Gem - Promote Higher
November,12705541,unknown,unknown,unknown,budget,40.28,122.0,23.0,9.0,18.85,7.38,Hidden Gem - Promote Higher
November,12702053,goodride,unknown,unknown,budget,49.67,109.0,17.0,8.0,15.6,7.34,Hidden Gem - Promote Higher
November,12703569,tigar,unknown,unknown,mid,91.31,41.0,4.0,3.0,9.76,7.32,Hidden Gem - Promote Higher
November,3801315,braun,appliances,iron,premium,334.43,41.0,2.0,3.0,4.88,7.32,Hidden Gem - Promote Higher
November,12711578,triangle,unknown,unknown,mid,85.04,41.0,1.0,3.0,2.44,7.32,Hidden Gem - Promote Higher
November,26001044,unknown,unknown,unknown,budget,9.26,41.0,3.0,3.0,7.32,7.32,Hidden Gem - Promote Higher
November,12706781,nokian,unknown,unknown,mid,107.87,41.0,3.0,3.0,7.32,7.32,Hidden Gem - Promote Higher
November,12702269,maxxis,unknown,unknown,mid,75.94,41.0,0.0,3.0,0.0,7.32,Hidden Gem - Promote Higher
November,17302678,montale,unknown,unknown,budget,12.49,41.0,4.0,3.0,9.76,7.32,Hidden Gem - Promote Higher
November,3900225,unknown,appliances,environment,mid,94.37,83.0,6.0,6.0,7.23,7.23,Hidden Gem - Promote Higher
November,12700702,matador,unknown,unknown,mid,69.76,42.0,3.0,3.0,7.14,7.14,Hidden Gem - Promote Higher
November,6200910,unknown,appliances,environment,mid,86.21,42.0,3.0,3.0,7.14,7.14,Hidden Gem - Promote Higher
November,4201541,artel,appliances,environment,luxury,899.77,186.0,20.0,13.0,10.75,6.99,Hidden Gem - Promote Higher
November,100000243,roadmarch,unknown,unknown,budget,32.67,43.0,9.0,3.0,20.93,6.98,Hidden Gem - Promote Higher
November,53300022,rodi,unknown,unknown,budget,40.29,43.0,3.0,3.0,6.98,6.98,Hidden Gem - Promote Higher
November,26203364,unknown,unknown,unknown,premium,285.98,43.0,6.0,3.0,13.95,6.98,Hidden Gem - Promote Higher
November,4803982,huawei,electronics,audio,budget,41.87,58.0,6.0,4.0,10.34,6.9,Hidden Gem - Promote Higher
November,9101156,defender,computers,peripherals,budget,5.93,44.0,4.0,3.0,9.09,6.82,Hidden Gem - Promote Higher
November,17300358,shaik,unknown,unknown,premium,262.41,44.0,1.0,3.0,2.27,6.82,Hidden Gem - Promote Higher
November,23000075,mobil,unknown,unknown,budget,24.37,44.0,5.0,3.0,11.36,6.82,Hidden Gem - Promote Higher
November,12703038,cordiant,unknown,unknown,budget,46.08,59.0,14.0,4.0,23.73,6.78,Hidden Gem - Promote Higher
November,17301769,prada,unknown,unknown,mid,75.01,59.0,6.0,4.0,10.17,6.78,Hidden Gem - Promote Higher
November,22400163,kingston,electronics,audio,mid,139.58,74.0,5.0,5.0,6.76,6.76,Hidden Gem - Promote Higher
November,13000021,sony,unknown,unknown,mid,64.96,74.0,7.0,5.0,9.46,6.76,Hidden Gem - Promote Higher
November,1005241,tecno,electronics,smartphone,mid,113.81,60.0,3.0,4.0,5.0,6.67,Hidden Gem - Promote Higher
November,12705237,viatti,unknown,unknown,mid,69.24,60.0,3.0,4.0,5.0,6.67,Hidden Gem - Promote Higher
November,12703033,cordiant,unknown,unknown,budget,40.79,45.0,6.0,3.0,13.33,6.67,Hidden Gem - Promote Higher
November,13300266,unknown,unknown,unknown,mid,84.19,45.0,2.0,3.0,4.44,6.67,Hidden Gem - Promote Higher
November,26202894,unknown,unknown,unknown,mid,166.54,61.0,2.0,4.0,3.28,6.56,Hidden Gem - Promote Higher
November,12700978,nokian,unknown,unknown,mid,71.91,61.0,5.0,4.0,8.2,6.56,Hidden Gem - Promote Higher
November,25200103,deluxe,unknown,unknown,budget,11.94,46.0,4.0,3.0,8.7,6.52,Hidden Gem - Promote Higher
November,12704611,nokian,unknown,unknown,mid,92.04,46.0,11.0,3.0,23.91,6.52,Hidden Gem - Promote Higher
November,12703502,cordiant,unknown,unknown,budget,37.57,77.0,20.0,5.0,25.97,6.49,Hidden Gem - Promote Higher
November,16500015,unknown,unknown,unknown,budget,45.03,62.0,2.0,4.0,3.23,6.45,Hidden Gem - Promote Higher
November,6801076,apacer,computers,components,budget,32.91,172.0,12.0,11.0,6.98,6.4,Hidden Gem - Promote Higher
November,9101355,defender,computers,peripherals,budget,5.03,94.0,6.0,6.0,6.38,6.38,Hidden Gem - Promote Higher
November,4800900,unknown,electronics,audio,budget,8.28,47.0,0.0,3.0,0.0,6.38,Hidden Gem - Promote Higher
November,5801698,kicx,electronics,audio,budget,30.63,47.0,3.0,3.0,6.38,6.38,Hidden Gem - Promote Higher
November,10502662,unknown,unknown,unknown,mid,54.0,47.0,2.0,3.0,4.26,6.38,Hidden Gem - Promote Higher
November,28721799,nike,apparel,shoes,mid,102.71,47.0,0.0,3.0,0.0,6.38,Hidden Gem - Promote Higher
November,12700973,nokian,unknown,unknown,mid,51.68,47.0,11.0,3.0,23.4,6.38,Hidden Gem - Promote Higher
November,12702135,unknown,unknown,unknown,mid,109.85,47.0,1.0,3.0,2.13,6.38,Hidden Gem - Promote Higher
November,5300300,elenberg,unknown,unknown,budget,8.54,47.0,9.0,3.0,19.15,6.38,Hidden Gem - Promote Higher
November,12707090,viatti,unknown,unknown,mid,76.71,47.0,7.0,3.0,14.89,6.38,Hidden Gem - Promote Higher
November,12716717,kapsen,unknown,unknown,mid,54.83,47.0,3.0,3.0,6.38,6.38,Hidden Gem - Promote Higher
November,17302417,unknown,unknown,unknown,mid,64.76,47.0,2.0,3.0,4.26,6.38,Hidden Gem - Promote Higher
November,12700704,matador,unknown,unknown,mid,80.57,63.0,5.0,4.0,7.94,6.35,Hidden Gem - Promote Higher
November,12703376,cordiant,unknown,unknown,mid,61.15,79.0,7.0,5.0,8.86,6.33,Hidden Gem - Promote Higher
November,12703485,cordiant,unknown,unknown,mid,51.22,127.0,10.0,8.0,7.87,6.3,Hidden Gem - Promote Higher
November,1005208,apple,electronics,smartphone,premium,393.43,112.0,5.0,7.0,4.46,6.25,Hidden Gem - Promote Higher
November,6300361,elenberg,appliances,kitchen,budget,16.71,96.0,11.0,6.0,11.46,6.25,Hidden Gem - Promote Higher
November,12700930,nokian,unknown,unknown,mid,56.86,80.0,8.0,5.0,10.0,6.25,Hidden Gem - Promote Higher
November,4100341,sony,unknown,unknown,premium,442.8,80.0,5.0,5.0,6.25,6.25,Hidden Gem - Promote Higher
November,12710257,yokohama,unknown,unknown,mid,110.68,48.0,5.0,3.0,10.42,6.25,Hidden Gem - Promote Higher
November,25800020,omron,medicine,tools,mid,90.83,48.0,4.0,3.0,8.33,6.25,Hidden Gem - Promote Higher
November,29100102,casada,appliances,personal,luxury,669.26,81.0,8.0,5.0,9.88,6.17,Hidden Gem - Promote Higher
November,12700474,bridgestone,unknown,unknown,mid,87.52,65.0,11.0,4.0,16.92,6.15,Hidden Gem - Promote Higher
November,6701117,powercolor,computers,components,premium,226.01,49.0,4.0,3.0,8.16,6.12,Hidden Gem - Promote Higher
November,14400026,hoco,unknown,unknown,budget,12.84,49.0,2.0,3.0,4.08,6.12,Hidden Gem - Promote Higher
November,12718592,triangle,unknown,unknown,budget,43.49,49.0,8.0,3.0,16.33,6.12,Hidden Gem - Promote Higher
November,12703629,cordiant,unknown,unknown,mid,86.19,66.0,8.0,4.0,12.12,6.06,Hidden Gem - Promote Higher
November,1005262,tp-link,electronics,smartphone,mid,159.33,182.0,18.0,11.0,9.89,6.04,Hidden Gem - Promote Higher
November,12700947,nokian,unknown,unknown,mid,129.3,133.0,23.0,8.0,17.29,6.02,Hidden Gem - Promote Higher
November,12703014,cordiant,unknown,unknown,budget,40.21,150.0,0.0,9.0,0.0,6.0,Hidden Gem - Promote Higher
November,26006709,unknown,unknown,unknown,budget,6.66,50.0,4.0,3.0,8.0,6.0,Hidden Gem - Promote Higher
November,4500330,electrolux,appliances,kitchen,premium,281.94,50.0,2.0,3.0,4.0,6.0,Hidden Gem - Promote Higher
November,12719482,firestone,unknown,unknown,premium,346.58,50.0,9.0,3.0,18.0,6.0,Hidden Gem - Promote Higher
November,12701611,matador,unknown,unknown,budget,45.56,50.0,9.0,3.0,18.0,6.0,Hidden Gem - Promote Higher
November,3601635,arg,appliances,kitchen,mid,133.6,67.0,6.0,4.0,8.96,5.97,Hidden Gem - Promote Higher
November,15200224,akom,unknown,unknown,mid,82.57,67.0,6.0,4.0,8.96,5.97,Hidden Gem - Promote Higher
November,15200894,bars,unknown,unknown,mid,51.48,118.0,14.0,7.0,11.86,5.93,Hidden Gem - Promote Higher
November,12700948,nokian,unknown,unknown,mid,125.65,102.0,14.0,6.0,13.73,5.88,Hidden Gem - Promote Higher
November,3200281,moulinex,appliances,kitchen,mid,119.25,68.0,4.0,4.0,5.88,5.88,Hidden Gem - Promote Higher
November,16100115,berghoff,unknown,unknown,mid,105.77,68.0,3.0,4.0,4.41,5.88,Hidden Gem - Promote Higher
November,17301569,unknown,unknown,unknown,mid,98.54,51.0,7.0,3.0,13.73,5.88,Hidden Gem - Promote Higher
November,60600001,omron,unknown,unknown,budget,47.29,51.0,2.0,3.0,3.92,5.88,Hidden Gem - Promote Higher
November,12714701,powertrac,unknown,unknown,mid,52.68,51.0,2.0,3.0,3.92,5.88,Hidden Gem - Promote Higher
November,12712948,ovation,unknown,unknown,mid,57.78,51.0,2.0,3.0,3.92,5.88,Hidden Gem - Promote Higher
November,12705523,viatti,unknown,unknown,budget,41.06,103.0,11.0,6.0,10.68,5.83,Hidden Gem - Promote Higher
November,12701289,triangle,unknown,unknown,budget,43.95,69.0,8.0,4.0,11.59,5.8,Hidden Gem - Promote Higher
November,22400036,hoco,electronics,audio,budget,25.71,104.0,6.0,6.0,5.77,5.77,Hidden Gem - Promote Higher
November,12800417,kingston,unknown,unknown,budget,5.41,52.0,6.0,3.0,11.54,5.77,Hidden Gem - Promote Higher
November,12719627,kapsen,unknown,unknown,mid,50.45,52.0,10.0,3.0,19.23,5.77,Hidden Gem - Promote Higher
November,17301442,chloe,unknown,unknown,budget,53.06,52.0,7.0,3.0,13.46,5.77,Hidden Gem - Promote Higher
November,2300249,xiaomi,electronics,camera,mid,106.02,52.0,1.0,3.0,1.92,5.77,Hidden Gem - Promote Higher
November,12711192,triangle,unknown,unknown,budget,41.51,52.0,8.0,3.0,15.38,5.77,Hidden Gem - Promote Higher
November,7900248,unknown,furniture,kitchen,budget,23.46,52.0,5.0,3.0,9.62,5.77,Hidden Gem - Promote Higher
November,15901008,rondell,unknown,unknown,budget,27.81,52.0,3.0,3.0,5.77,5.77,Hidden Gem - Promote Higher
November,28713028,baden,apparel,shoes,mid,70.79,70.0,0.0,4.0,0.0,5.71,Hidden Gem - Promote Higher
November,3601367,artel,appliances,kitchen,mid,125.5,106.0,6.0,6.0,5.66,5.66,Hidden Gem - Promote Higher
November,8800341,texet,electronics,telephone,budget,17.23,106.0,8.0,6.0,7.55,5.66,Hidden Gem - Promote Higher
November,100019271,lucente,unknown,unknown,premium,304.0,53.0,5.0,3.0,9.43,5.66,Hidden Gem - Promote Higher
November,8500102,bosch,unknown,unknown,luxury,617.02,124.0,6.0,7.0,4.84,5.65,Hidden Gem - Promote Higher
November,26012317,unknown,unknown,unknown,budget,8.06,71.0,1.0,4.0,1.41,5.63,Hidden Gem - Promote Higher
November,12700647,goodyear,unknown,unknown,mid,98.59,71.0,2.0,4.0,2.82,5.63,Hidden Gem - Promote Higher
November,12720780,joyroad,unknown,unknown,budget,33.46,72.0,7.0,4.0,9.72,5.56,Hidden Gem - Promote Higher
November,29502739,unknown,appliances,kitchen,budget,19.31,72.0,2.0,4.0,2.78,5.56,Hidden Gem - Promote Higher
November,14100630,stagg,electronics,audio,mid,96.53,72.0,6.0,4.0,8.33,5.56,Hidden Gem - Promote Higher
November,12720161,aoteli,unknown,unknown,mid,54.76,54.0,5.0,3.0,9.26,5.56,Hidden Gem - Promote Higher
November,6301501,gorenje,appliances,kitchen,mid,61.75,54.0,6.0,3.0,11.11,5.56,Hidden Gem - Promote Higher
November,6301456,elenberg,appliances,kitchen,budget,46.31,54.0,4.0,3.0,7.41,5.56,Hidden Gem - Promote Higher
November,6800869,adata,computers,components,budget,35.35,54.0,1.0,3.0,1.85,5.56,Hidden Gem - Promote Higher
November,1801966,lg,electronics,video,premium,464.44,163.0,15.0,9.0,9.2,5.52,Hidden Gem - Promote Higher
November,12700700,matador,unknown,unknown,mid,62.81,109.0,11.0,6.0,10.09,5.5,Hidden Gem - Promote Higher
November,10701054,sony,unknown,unknown,budget,40.75,182.0,26.0,10.0,14.29,5.49,Hidden Gem - Promote Higher
November,12700968,nokian,unknown,unknown,budget,48.38,146.0,15.0,8.0,10.27,5.48,Hidden Gem - Promote Higher
November,12701709,matador,unknown,unknown,mid,89.58,73.0,9.0,4.0,12.33,5.48,Hidden Gem - Promote Higher
November,9700359,deepcool,computers,components,budget,35.15,55.0,0.0,3.0,0.0,5.45,Hidden Gem - Promote Higher
November,18500017,wacom,electronics,tablet,mid,118.04,55.0,5.0,3.0,9.09,5.45,Hidden Gem - Promote Higher
November,6801074,apacer,computers,components,budget,33.05,74.0,3.0,4.0,4.05,5.41,Hidden Gem - Promote Higher
November,100017832,glasman,unknown,unknown,mid,102.61,74.0,1.0,4.0,1.35,5.41,Hidden Gem - Promote Higher
November,53300023,modern,unknown,unknown,budget,28.29,130.0,15.0,7.0,11.54,5.38,Hidden Gem - Promote Higher
November,12712500,yokohama,unknown,unknown,mid,155.58,130.0,6.0,7.0,4.62,5.38,Hidden Gem - Promote Higher
November,12702935,cordiant,unknown,unknown,mid,92.41,93.0,23.0,5.0,24.73,5.38,Hidden Gem - Promote Higher
November,26404601,unknown,unknown,unknown,mid,197.43,93.0,1.0,5.0,1.08,5.38,Hidden Gem - Promote Higher
November,2800415,xing,appliances,kitchen,premium,229.2,56.0,2.0,3.0,3.57,5.36,Hidden Gem - Promote Higher
November,1500083,epson,computers,peripherals,luxury,644.97,56.0,1.0,3.0,1.79,5.36,Hidden Gem - Promote Higher
November,3900652,ariston,appliances,environment,mid,117.43,56.0,3.0,3.0,5.36,5.36,Hidden Gem - Promote Higher
November,10301702,unknown,unknown,unknown,budget,4.61,56.0,0.0,3.0,0.0,5.36,Hidden Gem - Promote Higher
November,12712514,unknown,unknown,unknown,budget,35.96,56.0,4.0,3.0,7.14,5.36,Hidden Gem - Promote Higher
November,26003724,unknown,unknown,unknown,budget,14.2,56.0,3.0,3.0,5.36,5.36,Hidden Gem - Promote Higher
November,7900872,peg-perego,furniture,kitchen,mid,156.73,75.0,2.0,4.0,2.67,5.33,Hidden Gem - Promote Higher
November,6200358,almacom,appliances,environment,budget,43.76,75.0,6.0,4.0,8.0,5.33,Hidden Gem - Promote Higher
November,12705634,unknown,unknown,unknown,budget,40.41,75.0,9.0,4.0,12.0,5.33,Hidden Gem - Promote Higher
November,1306208,lenovo,computers,notebook,luxury,529.86,75.0,3.0,4.0,4.0,5.33,Hidden Gem - Promote Higher
November,2800668,unknown,appliances,kitchen,premium,241.07,152.0,16.0,8.0,10.53,5.26,Hidden Gem - Promote Higher
November,11100210,scarlett,appliances,personal,budget,9.35,114.0,4.0,6.0,3.51,5.26,Hidden Gem - Promote Higher
November,11500675,sven,unknown,unknown,budget,35.73,95.0,1.0,5.0,1.05,5.26,Hidden Gem - Promote Higher
November,4400319,delonghi,appliances,kitchen,premium,253.28,76.0,3.0,4.0,3.95,5.26,Hidden Gem - Promote Higher
November,33400002,fitlux,unknown,unknown,luxury,985.87,57.0,0.0,3.0,0.0,5.26,Hidden Gem - Promote Higher
November,30100006,makita,unknown,unknown,mid,72.87,57.0,2.0,3.0,3.51,5.26,Hidden Gem - Promote Higher
November,17301410,unknown,unknown,unknown,mid,105.83,57.0,2.0,3.0,3.51,5.26,Hidden Gem - Promote Higher
November,26600768,unknown,unknown,unknown,mid,153.93,57.0,1.0,3.0,1.75,5.26,Hidden Gem - Promote Higher
November,10701106,unknown,unknown,unknown,mid,68.83,57.0,7.0,3.0,12.28,5.26,Hidden Gem - Promote Higher
November,12711552,triangle,unknown,unknown,budget,32.28,135.0,0.0,7.0,0.0,5.19,Hidden Gem - Promote Higher
