month,brand,view_sessions,cart_sessions,purchase_sessions,total_revenue,view_to_cart_pct,cart_to_purchase_pct,conversion_rate,cart_abandonment_pct,revenue_per_view
November,tissot,3419.0,67.0,21.0,11020.09,1.96,31.34,0.61,68.66,3.22
November,matador,6620.0,665.0,198.0,10996.6,10.05,29.77,2.99,70.23,1.66
November,gefest,7049.0,215.0,55.0,10248.94,3.05,25.58,0.78,74.42,1.45
November,michelin,4755.0,304.0,77.0,9978.28,6.39,25.33,1.62,74.67,2.1
November,sho-me,3864.0,202.0,70.0,9744.72,5.23,34.65,1.81,65.35,2.52
November,microsoft,2433.0,72.0,21.0,9277.4,2.96,29.17,0.86,70.83,3.81
November,skad,6304.0,246.0,40.0,9183.61,3.9,16.26,0.63,83.74,1.46
November,rowenta,7757.0,415.0,159.0,9048.73,5.35,38.31,2.05,61.69,1.17
November,goodyear,4234.0,310.0,77.0,8667.15,7.32,24.84,1.82,75.16,2.05
November,maxxis,5959.0,486.0,114.0,8664.98,8.16,23.46,1.91,76.54,1.45
November,bridgestone,3543.0,249.0,59.0,8578.1,7.03,23.69,1.67,76.31,2.42
November,bernina,910.0,33.0,10.0,8564.92,3.63,30.3,1.1,69.7,9.41
November,panasonic,9072.0,376.0,90.0,8352.6,4.14,23.94,0.99,76.06,0.92
November,creed,1932.0,72.0,35.0,8195.76,3.73,48.61,1.81,51.39,4.24
November,gigabyte,4367.0,137.0,38.0,8171.46,3.14,27.74,0.87,72.26,1.87
November,makita,4867.0,106.0,31.0,7991.17,2.18,29.25,0.64,70.75,1.64
November,baden,17532.0,422.0,111.0,7936.49,2.41,26.3,0.63,73.7,0.45
November,tp-link,4736.0,232.0,94.0,7620.49,4.9,40.52,1.98,59.48,1.61
November,omron,4991.0,423.0,127.0,7461.03,8.48,30.02,2.54,69.98,1.49
November,hubert,1257.0,49.0,16.0,7424.76,3.9,32.65,1.27,67.35,5.91
November,kurzweil,870.0,26.0,7.0,7396.46,2.99,26.92,0.8,73.08,8.5
November,rals,4211.0,72.0,13.0,7363.84,1.71,18.06,0.31,81.94,1.75
November,montale,4942.0,195.0,78.0,7362.31,3.95,40.0,1.58,60.0,1.49
November,tunga,7817.0,713.0,196.0,7125.26,9.12,27.49,2.51,72.51,0.91
November,umi,1154.0,39.0,14.0,7052.57,3.38,35.9,1.21,64.1,6.11
November,belecoo,4616.0,162.0,58.0,7051.28,3.51,35.8,1.26,64.2,1.53
November,smeg,2869.0,45.0,16.0,7049.78,1.57,35.56,0.56,64.44,2.46
November,vegas,3539.0,110.0,31.0,6986.06,3.11,28.18,0.88,71.82,1.97
November,alkor,2809.0,59.0,16.0,6722.74,2.1,27.12,0.57,72.88,2.39
November,dewalt,4977.0,178.0,30.0,6696.61,3.58,16.85,0.6,83.15,1.35
November,changhong,1824.0,76.0,29.0,6630.12,4.17,38.16,1.59,61.84,3.63
November,kapsen,5448.0,459.0,133.0,6552.02,8.43,28.98,2.44,71.02,1.2
November,askona,3591.0,118.0,38.0,6491.42,3.29,32.2,1.06,67.8,1.81
November,toshiba,2384.0,81.0,28.0,6378.54,3.4,34.57,1.17,65.43,2.68
November,element,1939.0,109.0,50.0,6295.39,5.62,45.87,2.58,54.13,3.25
November,versace,4127.0,211.0,62.0,6258.96,5.11,29.38,1.5,70.62,1.52
November,bars,2406.0,270.0,99.0,5987.26,11.22,36.67,4.11,63.33,2.49
November,intel,3288.0,72.0,23.0,5914.06,2.19,31.94,0.7,68.06,1.8
November,moulinex,4687.0,178.0,49.0,5815.15,3.8,27.53,1.05,72.47,1.24
November,kingston,6036.0,347.0,110.0,5802.33,5.75,31.7,1.82,68.3,0.96
November,robertobravo,1770.0,20.0,4.0,5706.09,1.13,20.0,0.23,80.0,3.22
November,candy,3013.0,99.0,20.0,5632.14,3.29,20.2,0.66,79.8,1.87
November,chanel,2632.0,92.0,35.0,5609.36,3.5,38.04,1.33,61.96,2.13
November,delta,3308.0,150.0,51.0,5560.14,4.53,34.0,1.54,66.0,1.68
November,shivaki,3715.0,132.0,38.0,5541.61,3.55,28.79,1.02,71.21,1.49
November,sportelite,1456.0,51.0,12.0,5492.3,3.5,23.53,0.82,76.47,3.77
November,roadx,4378.0,370.0,102.0,5377.74,8.45,27.57,2.33,72.43,1.23
November,powertrac,3847.0,421.0,130.0,5304.06,10.94,30.88,3.38,69.12,1.38
November,rusgoldart,1394.0,49.0,19.0,5303.89,3.52,38.78,1.36,61.22,3.8
November,neoline,3751.0,126.0,31.0,5300.02,3.36,24.6,0.83,75.4,1.41
November,hygge,909.0,26.0,6.0,5161.02,2.86,23.08,0.66,76.92,5.68
November,dell,4561.0,46.0,11.0,5153.44,1.01,23.91,0.24,76.09,1.13
November,dior,2419.0,86.0,42.0,5097.69,3.56,48.84,1.74,51.16,2.11
November,palit,1965.0,126.0,19.0,5093.46,6.41,15.08,0.97,84.92,2.59
November,ergo,1645.0,50.0,17.0,4936.78,3.04,34.0,1.03,66.0,3.0
November,magnetta,2969.0,67.0,16.0,4815.91,2.26,23.88,0.54,76.12,1.62
November,omabelle,1879.0,14.0,3.0,4774.9,0.75,21.43,0.16,78.57,2.54
November,erlit,2089.0,65.0,14.0,4722.13,3.11,21.54,0.67,78.46,2.26
November,prestigio,4423.0,264.0,96.0,4712.87,5.97,36.36,2.17,63.64,1.07
November,imperial,4963.0,76.0,13.0,4711.37,1.53,17.11,0.26,82.89,0.95
November,kipardo,1807.0,68.0,13.0,4666.79,3.76,19.12,0.72,80.88,2.58
November,wacom,662.0,32.0,9.0,4621.36,4.83,28.13,1.36,71.88,6.98
November,rinnai,554.0,24.0,5.0,4556.33,4.33,20.83,0.9,79.17,8.22
November,nika,6087.0,331.0,93.0,4485.86,5.44,28.1,1.53,71.9,0.74
November,scarlett,11302.0,427.0,126.0,4427.13,3.78,29.51,1.11,70.49,0.39
November,kitfort,4455.0,177.0,35.0,4310.55,3.97,19.77,0.79,80.23,0.97
November,giant,954.0,14.0,5.0,4289.69,1.47,35.71,0.52,64.29,4.5
November,pocketbook,2138.0,115.0,29.0,4276.43,5.38,25.22,1.36,74.78,2.0
November,asm,2560.0,49.0,9.0,4215.28,1.91,18.37,0.35,81.63,1.65
November,gopro,1209.0,46.0,8.0,4099.7,3.8,17.39,0.66,82.61,3.39
November,fly,2523.0,57.0,25.0,4001.24,2.26,43.86,0.99,56.14,1.59
November,elari,4341.0,148.0,69.0,3960.9,3.41,46.62,1.59,53.38,0.91
November,alteco,4684.0,195.0,57.0,3920.9,4.16,29.23,1.22,70.77,0.84
November,alpine,2244.0,48.0,24.0,3804.95,2.14,50.0,1.07,50.0,1.7
November,orient,3168.0,74.0,25.0,3801.86,2.34,33.78,0.79,66.22,1.2
November,joie,2458.0,99.0,24.0,3759.42,4.03,24.24,0.98,75.76,1.53
November,aeroforce,3006.0,93.0,26.0,3741.46,3.09,27.96,0.86,72.04,1.24
November,nexen,3039.0,209.0,50.0,3733.92,6.88,23.92,1.65,76.08,1.23
November,armani,1954.0,28.0,13.0,3724.41,1.43,46.43,0.67,53.57,1.91
November,skyworth,563.0,16.0,6.0,3652.89,2.84,37.5,1.07,62.5,6.49
November,pinskdrev,1022.0,18.0,3.0,3642.31,1.76,16.67,0.29,83.33,3.56
November,gigawatt,1674.0,77.0,36.0,3595.97,4.6,46.75,2.15,53.25,2.15
November,fender,860.0,20.0,10.0,3583.57,2.33,50.0,1.16,50.0,4.17
November,continental,2612.0,114.0,28.0,3582.24,4.36,24.56,1.07,75.44,1.37
November,joyroad,2786.0,303.0,81.0,3547.58,10.88,26.73,2.91,73.27,1.27
November,rieker,10900.0,191.0,37.0,3515.16,1.75,19.37,0.34,80.63,0.32
November,nike,8783.0,70.0,29.0,3510.98,0.8,41.43,0.33,58.57,0.4
November,zeta,5246.0,213.0,53.0,3481.42,4.06,24.88,1.01,75.12,0.66
November,transcend,3806.0,305.0,68.0,3462.43,8.01,22.3,1.79,77.7,0.91
November,crown,6457.0,257.0,64.0,3373.46,3.98,24.9,0.99,75.1,0.52
November,rivertoys,2272.0,91.0,22.0,3319.53,4.01,24.18,0.97,75.82,1.46
November,bq,5496.0,157.0,60.0,3297.27,2.86,38.22,1.09,61.78,0.6
November,ostamebel,747.0,17.0,5.0,3289.11,2.28,29.41,0.67,70.59,4.4
November,almacom,2866.0,97.0,22.0,3221.41,3.38,22.68,0.77,77.32,1.12
November,asel,3686.0,239.0,63.0,3202.67,6.48,26.36,1.71,73.64,0.87
November,kugoo,628.0,16.0,8.0,3164.45,2.55,50.0,1.27,50.0,5.04
November,wingoffly,2108.0,64.0,27.0,3138.88,3.04,42.19,1.28,57.81,1.49
November,thermex,1121.0,76.0,31.0,3058.67,6.78,40.79,2.77,59.21,2.73
November,rondell,6392.0,177.0,53.0,3040.53,2.77,29.94,0.83,70.06,0.48
November,granhel,3544.0,167.0,28.0,3038.1,4.71,16.77,0.79,83.23,0.86
November,jaguar,2458.0,115.0,23.0,3023.96,4.68,20.0,0.94,80.0,1.23
November,smart,1373.0,20.0,5.0,2997.5,1.46,25.0,0.36,75.0,2.18
November,comforser,2777.0,242.0,56.0,2994.81,8.71,23.14,2.02,76.86,1.08
November,cybex,1014.0,15.0,7.0,2987.04,1.48,46.67,0.69,53.33,2.95
November,hankook,1823.0,98.0,31.0,2959.64,5.38,31.63,1.7,68.37,1.62
November,housefit,2066.0,53.0,9.0,2935.27,2.57,16.98,0.44,83.02,1.42
November,domini,2182.0,70.0,16.0,2926.72,3.21,22.86,0.73,77.14,1.34
November,oasis,4834.0,334.0,77.0,2909.5,6.91,23.05,1.59,76.95,0.6
November,chayka,1496.0,88.0,28.0,2859.46,5.88,31.82,1.87,68.18,1.91
November,atlantic,1029.0,33.0,16.0,2859.18,3.21,48.48,1.55,51.52,2.78
November,stihl,1555.0,44.0,9.0,2782.05,2.83,20.45,0.58,79.55,1.79
November,google,1275.0,6.0,4.0,2766.1,0.47,66.67,0.31,33.33,2.17
November,greyder,5108.0,109.0,24.0,2751.65,2.13,22.02,0.47,77.98,0.54
November,pandora,2784.0,51.0,13.0,2708.38,1.83,25.49,0.47,74.51,0.97
November,harper,3002.0,106.0,28.0,2658.6,3.53,26.42,0.93,73.58,0.89
November,lanvin,3218.0,196.0,63.0,2658.03,6.09,32.14,1.96,67.86,0.83
November,goodride,2726.0,243.0,57.0,2650.08,8.91,23.46,2.09,76.54,0.97
November,gucci,1486.0,66.0,21.0,2619.87,4.44,31.82,1.41,68.18,1.76
November,gislaved,1294.0,101.0,33.0,2603.04,7.81,32.67,2.55,67.33,2.01
November,tigar,2093.0,132.0,34.0,2575.5,6.31,25.76,1.62,74.24,1.23
November,peda,529.0,5.0,2.0,2571.5,0.95,40.0,0.38,60.0,4.86
November,cort,589.0,22.0,11.0,2570.22,3.74,50.0,1.87,50.0,4.36
November,pirelli,2447.0,161.0,24.0,2561.22,6.58,14.91,0.98,85.09,1.05
November,ballu,3655.0,156.0,50.0,2549.44,4.27,32.05,1.37,67.95,0.7
November,timberk,3083.0,169.0,56.0,2512.14,5.48,33.14,1.82,66.86,0.81
November,ea,893.0,137.0,40.0,2488.19,15.34,29.2,4.48,70.8,2.79
November,netechnics,1728.0,16.0,3.0,2483.89,0.93,18.75,0.17,81.25,1.44
November,remington,3025.0,129.0,43.0,2482.58,4.26,33.33,1.42,66.67,0.82
November,chicco,4352.0,86.0,21.0,2445.3,1.98,24.42,0.48,75.58,0.56
November,uno,617.0,24.0,5.0,2385.26,3.89,20.83,0.81,79.17,3.87
November,amazon,501.0,9.0,6.0,2350.97,1.8,66.67,1.2,33.33,4.69
November,whirlpool,858.0,9.0,3.0,2334.4,1.05,33.33,0.35,66.67,2.72
November,brother,1519.0,72.0,17.0,2331.7,4.74,23.61,1.12,76.39,1.54
November,racer,690.0,33.0,14.0,2330.84,4.78,42.42,2.03,57.58,3.38
November,pride,1713.0,56.0,17.0,2310.12,3.27,30.36,0.99,69.64,1.35
November,salamander,4019.0,74.0,20.0,2302.27,1.84,27.03,0.5,72.97,0.57
November,nintendo,916.0,14.0,8.0,2292.81,1.53,57.14,0.87,42.86,2.5
November,ibox,3049.0,119.0,25.0,2288.38,3.9,21.01,0.82,78.99,0.75
November,lorelli,2938.0,88.0,29.0,2252.79,3.0,32.95,0.99,67.05,0.77
November,irobot,876.0,10.0,5.0,2246.83,1.14,50.0,0.57,50.0,2.56
November,incanto,1919.0,63.0,14.0,2203.04,3.28,22.22,0.73,77.78,1.15
November,kicx,2282.0,71.0,29.0,2174.05,3.11,40.85,1.27,59.15,0.95
November,asrock,1729.0,49.0,15.0,2141.88,2.83,30.61,0.87,69.39,1.24
November,toyo,1684.0,89.0,18.0,2139.71,5.29,20.22,1.07,79.78,1.27
November,carfashion,4733.0,124.0,31.0,2133.6,2.62,25.0,0.65,75.0,0.45
November,horizont,1581.0,75.0,14.0,2129.77,4.74,18.67,0.89,81.33,1.35
November,hotpoint-ariston,1998.0,37.0,9.0,2093.79,1.85,24.32,0.45,75.68,1.05
November,amd,1994.0,77.0,13.0,2088.02,3.86,16.88,0.65,83.12,1.05
November,darina,1351.0,33.0,12.0,2050.87,2.44,36.36,0.89,63.64,1.52
November,leadbros,789.0,48.0,11.0,2036.11,6.08,22.92,1.39,77.08,2.58
November,avalon,1180.0,9.0,3.0,2018.59,0.76,33.33,0.25,66.67,1.71
November,varta,897.0,59.0,19.0,2008.34,6.58,32.2,2.12,67.8,2.24
November,eurolux,1598.0,81.0,23.0,1969.55,5.07,28.4,1.44,71.6,1.23
November,marshall,1696.0,63.0,21.0,1959.76,3.71,33.33,1.24,66.67,1.16
November,sven,3770.0,149.0,52.0,1928.15,3.95,34.9,1.38,65.1,0.51
November,aerocool,2375.0,101.0,23.0,1924.69,4.25,22.77,0.97,77.23,0.81
November,vestel,561.0,21.0,8.0,1922.62,3.74,38.1,1.43,61.9,3.43
November,jade,1192.0,13.0,7.0,1915.28,1.09,53.85,0.59,46.15,1.61
November,denzel,1270.0,39.0,7.0,1909.58,3.07,17.95,0.55,82.05,1.5
November,metabo,1079.0,9.0,4.0,1905.82,0.83,44.44,0.37,55.56,1.77
November,garrett,783.0,17.0,9.0,1896.79,2.17,52.94,1.15,47.06,2.42
November,adil,1535.0,55.0,18.0,1876.49,3.58,32.73,1.17,67.27,1.22
November,apacer,1932.0,117.0,46.0,1872.71,6.06,39.32,2.38,60.68,0.97
November,cantra,3201.0,68.0,22.0,1866.87,2.12,32.35,0.69,67.65,0.58
November,hyperx,1820.0,76.0,26.0,1834.55,4.18,34.21,1.43,65.79,1.01
November,dxracer,986.0,18.0,6.0,1819.25,1.83,33.33,0.61,66.67,1.85
November,flama,1739.0,59.0,12.0,1810.57,3.39,20.34,0.69,79.66,1.04
November,phoenix,977.0,34.0,10.0,1800.78,3.48,29.41,1.02,70.59,1.84
November,diamondunion,1057.0,37.0,9.0,1785.38,3.5,24.32,0.85,75.68,1.69
November,stagg,963.0,40.0,16.0,1771.72,4.15,40.0,1.66,60.0,1.84
November,babyliss,2546.0,83.0,28.0,1762.79,3.26,33.73,1.1,66.27,0.69
November,efremov,1440.0,28.0,12.0,1756.29,1.94,42.86,0.83,57.14,1.22
November,romana,802.0,17.0,7.0,1750.64,2.12,41.18,0.87,58.82,2.18
November,ersport,895.0,38.0,12.0,1730.62,4.25,31.58,1.34,68.42,1.93
November,akom,1193.0,98.0,23.0,1724.13,8.21,23.47,1.93,76.53,1.45
November,adamex,587.0,10.0,4.0,1719.47,1.7,40.0,0.68,60.0,2.93
November,jvc,2903.0,103.0,24.0,1707.36,3.55,23.3,0.83,76.7,0.59
November,matrol,1359.0,53.0,15.0,1701.34,3.9,28.3,1.1,71.7,1.25
November,hifly,1669.0,137.0,31.0,1687.57,8.21,22.63,1.86,77.37,1.01
November,tomfarr,9702.0,48.0,14.0,1687.29,0.49,29.17,0.14,70.83,0.17
November,genesis,1255.0,111.0,32.0,1684.17,8.84,28.83,2.55,71.17,1.34
November,cover,1301.0,28.0,10.0,1673.4,2.15,35.71,0.77,64.29,1.29
November,teploross,720.0,40.0,6.0,1672.52,5.56,15.0,0.83,85.0,2.32
November,weekend,2059.0,10.0,3.0,1662.84,0.49,30.0,0.15,70.0,0.81
November,dwt,1767.0,48.0,21.0,1662.48,2.72,43.75,1.19,56.25,0.94
November,luminarc,4720.0,88.0,27.0,1655.92,1.86,30.68,0.57,69.32,0.35
November,blaupunkt,641.0,15.0,5.0,1644.24,2.34,33.33,0.78,66.67,2.57
November,baltekstil,1714.0,46.0,15.0,1636.85,2.68,32.61,0.88,67.39,0.95
November,karya,4609.0,94.0,32.0,1627.55,2.04,34.04,0.69,65.96,0.35
November,beats,541.0,15.0,7.0,1626.1,2.77,46.67,1.29,53.33,3.01
November,huion,617.0,35.0,5.0,1601.62,5.67,14.29,0.81,85.71,2.6
November,peg-perego,933.0,37.0,10.0,1595.25,3.97,27.03,1.07,72.97,1.71
November,aoc,839.0,15.0,6.0,1578.33,1.79,40.0,0.72,60.0,1.88
November,king,1012.0,24.0,11.0,1553.22,2.37,45.83,1.09,54.17,1.53
November,glasman,645.0,9.0,8.0,1531.36,1.4,88.89,1.24,11.11,2.37
November,maxwell,5182.0,222.0,58.0,1519.55,4.28,26.13,1.12,73.87,0.29
November,kartal,1828.0,34.0,7.0,1491.17,1.86,20.59,0.38,79.41,0.82
November,fila,3186.0,46.0,15.0,1483.33,1.44,32.61,0.47,67.39,0.47
November,canyon,2268.0,82.0,36.0,1476.83,3.62,43.9,1.59,56.1,0.65
November,boccia,1412.0,21.0,14.0,1464.65,1.49,66.67,0.99,33.33,1.04
November,neo,1405.0,12.0,2.0,1451.26,0.85,16.67,0.14,83.33,1.03
November,nexpero,3909.0,91.0,19.0,1450.98,2.33,20.88,0.49,79.12,0.37
November,givenchy,1186.0,41.0,14.0,1444.33,3.46,34.15,1.18,65.85,1.22
November,strobbs,4412.0,91.0,23.0,1443.54,2.06,25.27,0.52,74.73,0.33
November,bork,628.0,11.0,3.0,1436.26,1.75,27.27,0.48,72.73,2.29
November,kormoran,1204.0,86.0,27.0,1431.93,7.14,31.4,2.24,68.6,1.19
November,velvet-santiago,667.0,4.0,4.0,1424.54,0.6,100.0,0.6,0.0,2.14
November,sunwide,776.0,67.0,25.0,1381.74,8.63,37.31,3.22,62.69,1.78
November,intex,3980.0,112.0,28.0,1379.94,2.81,25.0,0.7,75.0,0.35
November,cersanit,671.0,20.0,13.0,1371.99,2.98,65.0,1.94,35.0,2.04
November,navitel,998.0,20.0,15.0,1355.44,2.0,75.0,1.5,25.0,1.36
November,alphard,1139.0,27.0,11.0,1330.53,2.37,40.74,0.97,59.26,1.17
November,voltman,678.0,57.0,18.0,1327.44,8.41,31.58,2.65,68.42,1.96
November,fassen,3692.0,100.0,28.0,1322.59,2.71,28.0,0.76,72.0,0.36
November,lego,4843.0,125.0,20.0,1317.53,2.58,16.0,0.41,84.0,0.27
November,pituso,992.0,24.0,14.0,1309.43,2.42,58.33,1.41,41.67,1.32
November,bulgari,1017.0,59.0,18.0,1307.0,5.8,30.51,1.77,69.49,1.29
November,bfgoodrich,1629.0,82.0,12.0,1287.4,5.03,14.63,0.74,85.37,0.79
November,laston,1139.0,37.0,14.0,1285.87,3.25,37.84,1.23,62.16,1.13
November,domyos,989.0,28.0,7.0,1284.93,2.83,25.0,0.71,75.0,1.3
November,microlab,1951.0,64.0,28.0,1274.71,3.28,43.75,1.44,56.25,0.65
November,daneildesch,1241.0,23.0,9.0,1274.13,1.85,39.13,0.73,60.87,1.03
November,hoover,538.0,30.0,12.0,1266.2,5.58,40.0,2.23,60.0,2.35
November,aimoto,1980.0,77.0,23.0,1261.86,3.89,29.87,1.16,70.13,0.64
November,almada,940.0,27.0,6.0,1259.33,2.87,22.22,0.64,77.78,1.34
November,kristal,504.0,25.0,5.0,1244.24,4.96,20.0,0.99,80.0,2.47
November,legre,1964.0,71.0,14.0,1239.45,3.62,19.72,0.71,80.28,0.63
November,roadstone,1242.0,87.0,19.0,1231.94,7.0,21.84,1.53,78.16,0.99
November,rebus,641.0,17.0,6.0,1226.0,2.65,35.29,0.94,64.71,1.91
November,alis,1045.0,45.0,15.0,1224.9,4.31,33.33,1.44,66.67,1.17
November,cortland,1051.0,36.0,12.0,1191.81,3.43,33.33,1.14,66.67,1.13
November,galaxy,5936.0,181.0,46.0,1188.6,3.05,25.41,0.77,74.59,0.2
November,willmark,2675.0,212.0,53.0,1182.16,7.93,25.0,1.98,75.0,0.44
November,polini,1046.0,20.0,9.0,1181.27,1.91,45.0,0.86,55.0,1.13
November,etor,2334.0,52.0,10.0,1178.92,2.23,19.23,0.43,80.77,0.51
November,stendmebel,1960.0,36.0,6.0,1173.96,1.84,16.67,0.31,83.33,0.6
November,htc,638.0,16.0,5.0,1173.17,2.51,31.25,0.78,68.75,1.84
November,playme,706.0,26.0,8.0,1168.21,3.68,30.77,1.13,69.23,1.65
November,kitchenaid,1135.0,11.0,2.0,1167.85,0.97,18.18,0.18,81.82,1.03
